Prod. year,Cylinders,Airbags,Levy,Manufacturer,Model,Category,Leather interior,Fuel type,Engine volume,Mileage,Gear box type,Drive wheels,Doors,Wheel,Color
2013,4.0,12,779,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,225510 km,Automatic,Front,04-May,Left wheel,White
2007,4.0,4,1282,CHEVROLET,Captiva,Jeep,Yes,Diesel,2,76198 km,Automatic,Front,04-May,Left wheel,Silver
2010,6.0,12,1399,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3.5,189530 km,Automatic,4x4,04-May,Left wheel,Black
2012,4.0,4,642,CHEVROLET,Orlando,Jeep,Yes,Diesel,2,218525 km,Automatic,Front,04-May,Left wheel,Grey
2000,6.0,6,-,BMW,X5,Jeep,Yes,LPG,3,25000 km,Tiptronic,4x4,04-May,Left wheel,Silver
2011,4.0,8,-,LEXUS,CT 200h,Hatchback,Yes,Hybrid,1.8,192000 km,Automatic,Front,04-May,Left wheel,Black
2014,4.0,12,394,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,0 km,Automatic,Front,04-May,Left wheel,Black
1996,6.0,4,-,BMW,525 Vanos,Sedan,Yes,Petrol,2.5,232000 km,Manual,Rear,04-May,Left wheel,Green
2015,8.0,0,1646,LEXUS,GX 460,Sedan,Yes,Petrol,4.6,129931 km,Automatic,4x4,04-May,Left wheel,Black
2010,6.0,12,1399,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3.5,256914 km,Automatic,4x4,04-May,Left wheel,Grey
2008,6.0,0,-,BMW,X5,Jeep,Yes,Petrol,3,245000 km,Automatic,Rear,04-May,Left wheel,Black
2011,4.0,0,490,HONDA,Insight,Hatchback,Yes,Hybrid,1.3,216858 km,Automatic,Front,04-May,Left wheel,Grey
2011,4.0,0,862,FORD,Fusion,Sedan,Yes,Hybrid,2.5,82603 km,Automatic,Front,04-May,Left wheel,Blue
2010,4.0,4,687,DAEWOO,Lacetti,Sedan,Yes,Petrol,1.6,142460 km,Automatic,Front,04-May,Left wheel,Grey
2015,4.0,4,765,HYUNDAI,Sonata,Sedan,Yes,LPG,2,409910 km,Automatic,Front,04-May,Left wheel,Silver
2010,4.0,4,836,SSANGYONG,Actyon,Jeep,Yes,Diesel,2,120000 km,Automatic,Front,04-May,Left wheel,Silver
2013,4.0,12,530,FORD,Fiesta,Hatchback,Yes,Petrol,1.6,74000 km,Tiptronic,Front,04-May,Left wheel,Silver
2015,4.0,8,765,FORD,Fusion TITANIUM,Sedan,Yes,Petrol,2.0 Turbo,111694 km,Automatic,Front,04-May,Left wheel,Pink
