OverallQual,ExterQual,Foundation,BsmtQual,KitchenQual,FireplaceQu,GarageFinish,YearDiff,YearRemodAdd,1stFlrSF,GrLivArea,FullBath,GarageCars,Neighborhood,MasVnrType,HeatingQC,Fireplaces,MasVnrArea,GarageYrBlt,HouseStyle,Exterior1st,Exterior2nd,BsmtExposure,BsmtFinType1,GarageType,OverallCond,LotArea,BsmtFinSF1,LotFrontage,2ndFlrSF,SalePrice,no_garage,is_BsmtFinSF1_0,is_2ndFlrSF_0
7,2,6,3,2,1,2,2.4721359549995796,87.50977600240098,6.752270376141742,7.444248649496705,2,2,16,2,4,0,196.0,2003,6,11,13,1,6,5,8,9.041921720351219,706,4.174387269895637,854,208500,0,0,0
6,1,3,3,1,3,2,9.135528725660045,86.90444308357146,7.140453043101158,7.140453043101158,2,2,19,1,4,1,0.0,1976,4,6,4,4,4,5,4,9.169518377455928,978,4.382026634673881,0,181500,0,0,1
7,2,6,3,2,3,2,3.2915026221291805,87.48742928478838,6.824373670043086,7.487733761436444,2,2,16,2,4,1,162.0,2001,6,11,13,2,6,5,8,9.328123407632566,486,4.219507705176107,866,223500,0,0,0
7,1,2,2,2,4,1,17.07878402833891,86.76936408468859,6.8679744089702925,7.448333860897476,1,3,18,1,3,1,0.0,1998,6,5,3,1,4,2,8,9.164296433474776,216,4.0943445622221,756,140000,0,0,0
8,2,6,3,2,3,2,3.6568542494923797,87.44271909999158,7.0431599159883405,7.6953031349635665,2,3,23,2,4,1,350.0,2000,6,11,13,3,6,5,8,9.565213693968287,655,4.430816798843313,1053,250000,0,0,0
5,1,5,3,1,1,1,6.0,87.33084573650919,6.679599185844383,7.216709486709457,1,2,11,1,4,0,0.0,1993,1,11,13,1,6,5,8,9.55499334068759,732,4.442651256490317,566,143000,0,0,0
8,2,6,4,2,4,2,1.4641016151377548,87.55445270895245,7.434847875211999,7.434847875211999,2,2,20,4,4,1,186.0,2004,4,11,13,3,6,5,8,9.218705288307811,1369,4.31748811353631,0,307000,0,0,1
7,1,3,3,1,3,2,10.0,86.83692925805124,7.009408932708637,7.644919344958857,2,2,14,4,4,2,240.0,1973,6,8,8,2,4,5,5,9.247828816387175,859,4.271046145615197,983,200000,0,0,0
7,1,2,2,1,3,1,15.549928774784245,86.31760866327848,6.92951677076365,7.480992162869525,2,2,3,1,3,2,0.0,1931,1,9,3,1,5,2,8,8.719317375506371,0,3.9318256327243257,752,129900,0,1,0
5,1,2,2,1,3,2,14.613247725836153,86.31760866327848,6.981934677156389,6.981934677156389,1,1,5,1,4,2,0.0,1939,0,6,4,1,6,5,5,8.911934336161426,851,3.912023005428146,0,118000,0,0,1
