Sex:female,Pclass:1,Pclass:3,Embarked:S,Embarked:C,Cabin_Names_label_enc,Title_label_enc,Family:No,Family:Small,Age_label_enc,Age,Fare_label_enc,Fare
0,0,1,1,0,0,0,0,1,2,22.0,0,7.25
1,1,0,0,1,3,4,0,1,1,38.0,1,71.2833
1,0,1,1,0,0,3,1,0,1,26.0,0,7.925
1,1,0,1,0,3,4,0,1,1,35.0,1,53.1
0,0,1,1,0,0,0,1,0,1,35.0,0,8.05
0,0,1,0,0,0,0,1,0,1,30.0,0,8.4583
0,1,0,1,0,5,0,1,0,3,54.0,1,51.8625
0,0,1,1,0,0,2,0,0,5,2.0,0,21.075
1,0,1,1,0,0,4,0,1,1,27.0,0,11.1333
1,0,0,0,1,0,4,0,1,4,14.0,0,30.0708
1,0,1,1,0,7,3,0,1,5,4.0,0,16.7
1,1,0,1,0,3,3,1,0,3,58.0,0,26.55
0,0,1,1,0,0,0,1,0,2,20.0,0,8.05
0,0,1,1,0,0,0,0,0,1,39.0,0,31.275
1,0,1,1,0,0,3,1,0,4,14.0,0,7.8542
1,0,0,1,0,0,4,1,0,3,55.0,0,16.0
0,0,1,0,0,0,2,0,0,5,2.0,0,29.125
0,0,0,1,0,0,0,1,0,1,30.0,0,13.0
1,0,1,1,0,0,4,0,1,1,31.0,0,18.0
1,0,1,0,1,0,4,1,0,1,35.0,0,7.225
0,0,0,1,0,0,0,1,0,1,35.0,0,26.0
0,0,0,1,0,4,0,1,0,1,34.0,0,13.0
1,0,1,0,0,0,3,1,0,4,15.0,0,8.0292
0,1,0,1,0,1,0,1,0,1,28.0,0,35.5
1,0,1,1,0,0,3,0,0,5,8.0,0,21.075
1,0,1,1,0,0,4,0,0,1,38.0,0,31.3875
0,0,1,0,1,0,0,1,0,1,30.0,0,7.225
0,1,0,1,0,3,0,0,0,2,19.0,2,263.0
1,0,1,0,0,0,3,1,0,2,21.0,0,7.8792
0,0,1,1,0,0,0,1,0,1,30.0,0,7.8958
0,1,0,0,1,0,1,1,0,1,40.0,0,27.7208
1,1,0,0,1,2,4,0,1,1,35.0,2,146.5208
1,0,1,0,0,0,3,1,0,2,21.0,0,7.75
0,0,0,1,0,0,0,1,0,0,66.0,0,10.5
0,1,0,0,1,0,0,0,1,1,28.0,1,82.1708
0,1,0,1,0,0,0,0,1,3,42.0,1,52.0
0,0,1,0,1,0,0,1,0,1,30.0,0,7.2292
0,0,1,1,0,0,0,1,0,2,21.0,0,8.05
1,0,1,1,0,0,3,0,1,4,18.0,0,18.0
1,0,1,0,1,0,3,0,1,4,14.0,0,11.2417
1,0,1,1,0,0,4,0,1,1,40.0,0,9.475
1,0,0,1,0,0,4,0,1,1,27.0,0,21.0
0,0,1,0,1,0,0,1,0,1,30.0,0,7.8958
1,0,0,0,1,0,3,0,1,5,3.0,0,41.5792
1,0,1,0,0,0,3,1,0,2,19.0,0,7.8792
0,0,1,1,0,0,0,1,0,1,30.0,0,8.05
0,0,1,0,0,0,0,0,1,1,30.0,0,15.5
1,0,1,0,0,0,3,1,0,2,21.0,0,7.75
0,0,1,0,1,0,0,0,1,1,30.0,0,21.6792
1,0,1,1,0,0,4,0,1,4,18.0,0,17.8
0,0,1,1,0,0,2,0,0,5,7.0,0,39.6875
0,0,1,1,0,0,0,1,0,2,21.0,0,7.8
1,1,0,0,1,4,4,0,1,3,49.0,1,76.7292
